VENTLUNG,MINVOLSET,DISCONNECT,VENTMACH,PRESS,FIO2,PVSAT,EXPCO2,HREKG,ERRCAUTER,HRBP,ERRLOWOUTPUT,MINVOL,KINKEDTUBE,STROKEVOLUME,LVFAILURE,LVEDVOLUME,HYPOVOLEMIA,HRSAT,HISTORY,ANAPHYLAXIS,PAP,INTUBATION,VENTTUBE,VENTALV,CATECHOL,ARTCO2,HR,CO,BP,TPR,PCWP,INSUFFANESTH,SHUNT,PULMEMBOLUS,CVP,SAO2
ZERO,NORMAL,FALSE,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,FALSE,HIGH,FALSE,ZERO,TRUE,NORMAL,FALSE,HIGH,TRUE,HIGH,FALSE,FALSE,NORMAL,NORMAL,LOW,ZERO,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,HIGH,TRUE,NORMAL,FALSE,NORMAL,LOW
LOW,NORMAL,TRUE,NORMAL,HIGH,NORMAL,LOW,ZERO,HIGH,FALSE,HIGH,FALSE,HIGH,FALSE,LOW,FALSE,HIGH,TRUE,HIGH,FALSE,FALSE,NORMAL,NORMAL,ZERO,NORMAL,HIGH,NORMAL,HIGH,LOW,LOW,LOW,HIGH,FALSE,NORMAL,FALSE,HIGH,LOW
ZERO,LOW,FALSE,LOW,HIGH,NORMAL,LOW,LOW,HIGH,FALSE,HIGH,FALSE,NORMAL,FALSE,NORMAL,FALSE,NORMAL,FALSE,HIGH,FALSE,FALSE,NORMAL,NORMAL,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,NORMAL,FALSE,NORMAL,FALSE,NORMAL,LOW
LOW,HIGH,FALSE,HIGH,NORMAL,NORMAL,LOW,ZERO,HIGH,FALSE,HIGH,FALSE,HIGH,FALSE,NORMAL,FALSE,HIGH,TRUE,HIGH,FALSE,FALSE,NORMAL,NORMAL,HIGH,NORMAL,HIGH,NORMAL,HIGH,HIGH,HIGH,NORMAL,HIGH,FALSE,NORMAL,FALSE,HIGH,LOW
ZERO,NORMAL,FALSE,NORMAL,NORMAL,NORMAL,LOW,LOW,HIGH,FALSE,HIGH,FALSE,ZERO,FALSE,LOW,FALSE,NORMAL,FALSE,HIGH,FALSE,FALSE,NORMAL,NORMAL,LOW,ZERO,HIGH,HIGH,HIGH,LOW,LOW,LOW,NORMAL,FALSE,NORMAL,FALSE,LOW,LOW
ZERO,NORMAL,FALSE,NORMAL,HIGH,NORMAL,LOW,LOW,HIGH,FALSE,HIGH,FALSE,ZERO,FALSE,NORMAL,FALSE,NORMAL,FALSE,HIGH,FALSE,FALSE,NORMAL,NORMAL,LOW,ZERO,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,NORMAL,FALSE,NORMAL,FALSE,NORMAL,LOW
ZERO,NORMAL,FALSE,NORMAL,HIGH,NORMAL,LOW,LOW,HIGH,FALSE,NORMAL,TRUE,ZERO,FALSE,LOW,FALSE,HIGH,TRUE,HIGH,FALSE,FALSE,NORMAL,NORMAL,LOW,ZERO,HIGH,HIGH,HIGH,LOW,NORMAL,HIGH,NORMAL,FALSE,NORMAL,FALSE,HIGH,LOW
ZERO,NORMAL,FALSE,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,FALSE,HIGH,FALSE,ZERO,FALSE,NORMAL,FALSE,NORMAL,FALSE,HIGH,FALSE,FALSE,NORMAL,NORMAL,LOW,ZERO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,FALSE,NORMAL,FALSE,NORMAL,LOW
ZERO,NORMAL,TRUE,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,FALSE,HIGH,FALSE,ZERO,FALSE,NORMAL,FALSE,NORMAL,FALSE,HIGH,FALSE,FALSE,NORMAL,NORMAL,ZERO,ZERO,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,NORMAL,FALSE,NORMAL,FALSE,NORMAL,LOW
ZERO,NORMAL,FALSE,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,FALSE,HIGH,FALSE,ZERO,FALSE,NORMAL,FALSE,NORMAL,FALSE,HIGH,FALSE,FALSE,LOW,NORMAL,LOW,ZERO,HIGH,HIGH,HIGH,HIGH,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,FALSE,NORMAL,LOW
