data,size,missing,extra,reverse,shd,precision,recall,F1,statisfy,time
alarm,1000,3.00,2.83,5.17,11.00,0.83,0.82,0.82,0.00,1134.10
alarm,4000,2.00,2.17,4.00,8.17,0.87,0.87,0.87,0.00,1125.26
asia,250,1.83,0.50,1.17,3.50,0.75,0.62,0.68,0.00,12.66
asia,1000,0.83,0.17,1.17,2.17,0.82,0.75,0.78,0.00,11.81
barley,2000,39.83,18.83,22.83,81.50,0.34,0.25,0.29,0.00,2711.52
barley,8000,32.00,23.50,25.67,81.17,0.35,0.31,0.33,0.00,2497.29
cancer,250,2.00,0.00,0.00,2.00,1.00,0.50,0.67,0.00,4.94
cancer,1000,1.50,0.00,1.00,2.50,0.64,0.38,0.45,0.00,7.10
child,500,4.00,0.17,1.83,6.00,0.91,0.77,0.83,0.00,70.44
child,2000,0.00,0.00,2.00,2.00,0.92,0.92,0.92,0.00,67.44
insurance,500,19.50,3.17,11.67,34.33,0.59,0.40,0.48,0.00,295.97
insurance,2000,15.67,5.00,11.00,31.67,0.61,0.49,0.54,0.00,289.45
mildew,8000,14.83,14.83,18.50,48.17,0.28,0.28,0.28,0.00,816.29
mildew,32000,9.83,27.50,24.83,62.17,0.18,0.25,0.21,0.00,970.42
water,1000,43.00,4.50,11.50,59.00,0.42,0.17,0.25,0.00,1253.93
water,4000,34.83,3.83,14.50,53.17,0.48,0.25,0.33,0.00,1332.29
