data,size,conf,missing,extra,reverse,shd,precision,recall,F1,statisfy,time
alarm,1000,0.50,2.33,2.67,3.83,8.83,0.86,0.87,0.86,17.17,2000.82
alarm,1000,0.60,2.50,2.33,2.83,7.67,0.89,0.88,0.89,18.17,1504.24
alarm,1000,0.70,2.50,2.67,3.00,8.17,0.88,0.88,0.88,18.33,1497.07
alarm,1000,0.80,2.67,3.00,2.67,8.33,0.88,0.88,0.88,18.83,1470.08
alarm,1000,0.90,2.50,2.67,2.00,7.17,0.90,0.90,0.90,19.17,1445.59
alarm,1000,1.00,2.67,2.50,1.67,6.83,0.91,0.91,0.91,20.17,1420.40
alarm,4000,0.50,2.00,2.17,3.33,7.50,0.88,0.88,0.88,17.17,1957.76
alarm,4000,0.60,2.00,1.00,1.17,4.17,0.95,0.93,0.94,18.67,1454.82
alarm,4000,0.70,2.00,0.33,0.17,2.50,0.99,0.95,0.97,19.83,1452.91
alarm,4000,0.80,2.00,0.33,0.17,2.50,0.99,0.95,0.97,20.00,1422.97
alarm,4000,0.90,2.00,1.50,0.67,4.17,0.96,0.94,0.95,20.00,1416.79
alarm,4000,1.00,2.00,0.17,0.33,2.50,0.99,0.95,0.97,20.00,1367.15
asia,250,0.50,1.17,0.33,1.00,2.50,0.82,0.73,0.77,7.00,13.15
asia,250,0.60,1.50,0.67,0.67,2.83,0.82,0.73,0.77,7.17,11.47
asia,250,0.70,1.17,0.33,0.83,2.33,0.84,0.75,0.79,7.17,11.31
asia,250,0.80,1.00,0.33,0.83,2.17,0.84,0.77,0.80,7.33,10.68
asia,250,0.90,0.67,0.33,0.00,1.00,0.96,0.92,0.94,8.50,10.12
asia,250,1.00,0.00,0.17,0.00,0.17,0.98,1.00,0.99,9.00,9.61
asia,1000,0.50,0.83,0.33,1.17,2.33,0.80,0.75,0.78,7.17,12.22
asia,1000,0.60,0.83,0.33,0.83,2.00,0.85,0.79,0.82,7.50,9.83
asia,1000,0.70,0.83,0.33,0.67,1.83,0.87,0.81,0.84,7.67,9.75
asia,1000,0.80,0.83,0.33,0.17,1.33,0.93,0.88,0.90,8.17,9.43
asia,1000,0.90,0.50,0.00,0.00,0.50,1.00,0.94,0.97,8.50,9.84
asia,1000,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,9.00,8.33
barley,2000,0.50,39.17,20.33,22.83,82.33,0.34,0.26,0.30,6.83,6827.04
barley,2000,0.60,40.67,20.17,24.00,84.83,0.30,0.23,0.26,5.33,4812.81
barley,2000,0.70,39.50,20.17,25.50,85.17,0.29,0.23,0.26,6.67,5099.83
barley,2000,0.80,39.83,21.00,22.50,83.33,0.33,0.26,0.29,8.33,4915.00
barley,2000,0.90,38.33,19.33,21.67,79.33,0.37,0.29,0.32,8.83,4823.08
barley,2000,1.00,40.50,22.83,22.33,85.67,0.32,0.25,0.28,13.00,4469.95
barley,8000,0.50,32.67,25.17,26.50,84.33,0.33,0.30,0.31,5.83,6763.26
barley,8000,0.60,31.17,23.50,29.17,83.83,0.31,0.28,0.30,4.50,4486.06
barley,8000,0.70,31.67,23.33,25.67,80.67,0.35,0.32,0.34,7.00,4405.16
barley,8000,0.80,33.33,24.33,24.83,82.50,0.35,0.31,0.33,5.50,4682.01
barley,8000,0.90,32.50,25.17,23.67,81.33,0.36,0.33,0.35,5.83,4381.29
barley,8000,1.00,31.33,25.00,25.33,81.67,0.35,0.33,0.34,8.33,4244.68
cancer,250,0.50,2.33,0.00,0.33,2.67,0.83,0.33,0.47,1.33,6.70
cancer,250,0.60,2.67,0.00,0.17,2.83,0.92,0.29,0.43,1.17,6.91
cancer,250,0.70,2.67,0.00,0.17,2.83,0.92,0.29,0.43,1.17,6.93
