data,size,missing,extra,reverse,precision,shd,recall,F1
alarm,1000,2.17,5.17,2.17,0.85,9.50,0.91,0.88
alarm,4000,2.00,2.83,1.67,0.90,6.50,0.92,0.91
asia,250,1.50,1.67,1.00,0.69,4.17,0.69,0.68
asia,1000,0.83,0.33,1.33,0.78,2.50,0.73,0.75
barley,2000,32.00,7.83,7.17,0.75,47.00,0.53,0.62
barley,8000,24.17,2.83,6.67,0.85,33.67,0.63,0.73
cancer,250,1.83,0.17,1.00,0.61,3.00,0.29,0.58
cancer,1000,0.83,0.00,1.00,0.68,1.83,0.54,0.60
child,500,5.33,1.00,3.17,0.80,9.50,0.66,0.72
child,2000,1.67,0.17,3.50,0.84,5.33,0.79,0.82
insurance,500,18.67,4.00,3.00,0.81,25.67,0.58,0.68
insurance,2000,9.83,1.67,3.50,0.88,15.00,0.74,0.81
mildew,8000,14.17,2.00,6.67,0.74,22.83,0.55,0.63
mildew,32000,6.67,5.67,8.67,0.68,21.00,0.67,0.67
water,1000,37.50,17.67,7.17,0.46,62.33,0.32,0.38
water,4000,33.17,15.33,5.17,0.57,53.67,0.42,0.48
