data,size,missing,extra,reverse,precision,shd,recall,F1
alarm,1000,2.17,7.50,2.67,0.80,12.33,0.89,0.85
alarm,4000,2.00,4.50,2.33,0.86,8.83,0.91,0.88
asia,250,0.50,1.67,0.00,0.82,2.17,0.94,0.88
asia,1000,0.00,0.33,0.00,0.96,0.33,1.00,0.98
barley,8000,28.75,14.25,11.50,0.63,54.50,0.52,0.57
cancer,250,0.17,0.33,0.00,0.92,0.50,0.96,0.94
cancer,1000,0.00,0.00,0.00,1.00,0.00,1.00,1.00
child,500,5.50,3.00,2.00,0.78,10.50,0.70,0.74
child,2000,2.50,2.17,3.17,0.79,7.83,0.77,0.78
insurance,500,18.00,4.17,2.33,0.83,24.50,0.61,0.70
insurance,2000,9.83,1.83,4.50,0.86,16.17,0.72,0.78
mildew,8000,17.67,12.67,10.17,0.44,40.50,0.39,0.42
mildew,32000,8.33,7.83,5.33,0.71,21.50,0.70,0.71
water,1000,38.33,20.17,8.17,0.41,66.67,0.30,0.34
water,4000,33.50,16.67,5.50,0.55,55.67,0.41,0.47
