data,size,conf,accept,reject,TP,TN,FP,FN,TPR,TNR,precision,recall,F1
alarm,1000,1.00,20.00,1.00,20.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00
alarm,4000,1.00,20.00,1.00,20.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00
asia,250,1.00,9.00,0.00,9.00,0.00,0.00,0.00,1.00,,1.00,1.00,1.00
asia,1000,1.00,9.00,0.00,9.00,0.00,0.00,0.00,1.00,,1.00,1.00,1.00
barley,2000,1.00,11.67,12.33,10.50,5.83,1.17,6.50,0.62,0.83,0.90,0.62,0.72
barley,8000,1.00,8.50,15.50,6.67,5.17,1.83,10.33,0.39,0.74,0.78,0.39,0.52
cancer,250,1.00,5.00,0.00,5.00,0.00,0.00,0.00,1.00,,1.00,1.00,1.00
cancer,1000,1.00,5.00,0.00,5.00,0.00,0.00,0.00,1.00,,1.00,1.00,1.00
child,500,1.00,8.00,2.00,8.00,2.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00
child,2000,1.00,8.00,2.00,8.00,2.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00
insurance,500,1.00,10.00,0.00,10.00,0.00,0.00,0.00,1.00,,1.00,1.00,1.00
insurance,2000,1.00,8.67,1.33,8.67,0.00,0.00,1.33,0.87,,1.00,0.87,0.93
mildew,8000,1.00,7.33,19.67,7.33,9.00,0.00,10.67,0.41,1.00,1.00,0.41,0.57
mildew,32000,1.00,6.50,20.50,6.17,8.67,0.33,11.83,0.34,0.96,0.94,0.34,0.49
water,1000,1.00,10.17,4.83,9.00,4.83,1.17,0.00,1.00,0.81,0.89,1.00,0.94
water,4000,1.00,9.50,5.50,8.83,5.33,0.67,0.17,0.98,0.89,0.93,0.98,0.96
