data,size,conf,accept,reject,TP,TN,FP,FN,TPR,TNR,precision,recall,F1
alarm,1000,1.00,14.33,6.67,14.33,1.00,0.00,5.67,0.72,1.00,1.00,0.72,0.83
alarm,4000,1.00,16.00,5.00,16.00,1.00,0.00,4.00,0.80,1.00,1.00,0.80,0.89
asia,250,1.00,5.83,3.17,5.83,0.00,0.00,3.17,0.65,,1.00,0.65,0.78
asia,1000,1.00,7.00,2.00,7.00,0.00,0.00,2.00,0.78,,1.00,0.78,0.88
barley,2000,1.00,5.67,18.33,4.67,6.00,1.00,12.33,0.27,0.86,0.75,0.27,0.46
barley,8000,1.00,5.67,18.33,4.33,5.67,1.33,12.67,0.25,0.81,0.75,0.25,0.38
cancer,250,1.00,0.33,4.67,0.33,0.00,0.00,4.67,0.07,,1.00,0.07,0.57
cancer,1000,1.00,1.50,3.50,1.50,0.00,0.00,3.50,0.30,,1.00,0.30,0.45
child,500,1.00,7.00,3.00,7.00,2.00,0.00,1.00,0.88,1.00,1.00,0.88,0.93
child,2000,1.00,7.50,2.50,7.50,2.00,0.00,0.50,0.94,1.00,1.00,0.94,0.97
insurance,500,1.00,2.67,7.33,2.67,0.00,0.00,7.33,0.27,,1.00,0.27,0.42
insurance,2000,1.00,4.00,6.00,4.00,0.00,0.00,6.00,0.40,,1.00,0.40,0.56
mildew,8000,1.00,4.83,22.17,4.83,9.00,0.00,13.17,0.27,1.00,1.00,0.27,0.41
mildew,32000,1.00,5.17,21.83,5.00,8.83,0.17,13.00,0.28,0.98,0.98,0.28,0.42
water,1000,1.00,0.00,15.00,0.00,6.00,0.00,9.00,0.00,1.00,,0.00,
water,4000,1.00,1.83,13.17,1.67,5.83,0.17,7.33,0.19,0.97,0.96,0.19,0.30
