data,size,conf,accept,reject,TP,TN,FP,FN,TPR,TNR,precision,recall,F1
alarm,1000,0.50,17.17,3.83,17.17,1.00,0.00,2.83,0.86,1.00,1.00,0.86,0.92
alarm,1000,0.60,18.17,2.83,18.17,1.00,0.00,1.83,0.91,1.00,1.00,0.91,0.95
alarm,1000,0.70,18.33,2.67,18.33,1.00,0.00,1.67,0.92,1.00,1.00,0.92,0.95
alarm,1000,0.80,18.83,2.17,18.83,1.00,0.00,1.17,0.94,1.00,1.00,0.94,0.97
alarm,1000,0.90,19.17,1.83,19.17,1.00,0.00,0.83,0.96,1.00,1.00,0.96,0.98
alarm,1000,1.00,20.17,0.83,20.00,0.83,0.17,0.00,1.00,0.83,0.99,1.00,1.00
alarm,4000,0.50,17.17,3.83,17.17,1.00,0.00,2.83,0.86,1.00,1.00,0.86,0.92
alarm,4000,0.60,18.67,2.33,18.67,1.00,0.00,1.33,0.93,1.00,1.00,0.93,0.96
alarm,4000,0.70,19.83,1.17,19.83,1.00,0.00,0.17,0.99,1.00,1.00,0.99,1.00
alarm,4000,0.80,20.00,1.00,20.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00
alarm,4000,0.90,20.00,1.00,20.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00
alarm,4000,1.00,20.00,1.00,20.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00
asia,250,0.50,7.00,2.00,7.00,0.00,0.00,2.00,0.78,,1.00,0.78,0.88
asia,250,0.60,7.17,1.83,7.17,0.00,0.00,1.83,0.80,,1.00,0.80,0.89
asia,250,0.70,7.17,1.83,7.17,0.00,0.00,1.83,0.80,,1.00,0.80,0.89
asia,250,0.80,7.33,1.67,7.33,0.00,0.00,1.67,0.81,,1.00,0.81,0.90
asia,250,0.90,8.50,0.50,8.50,0.00,0.00,0.50,0.94,,1.00,0.94,0.97
asia,250,1.00,9.00,0.00,9.00,0.00,0.00,0.00,1.00,,1.00,1.00,1.00
asia,1000,0.50,7.17,1.83,7.17,0.00,0.00,1.83,0.80,,1.00,0.80,0.89
asia,1000,0.60,7.50,1.50,7.50,0.00,0.00,1.50,0.83,,1.00,0.83,0.91
asia,1000,0.70,7.67,1.33,7.67,0.00,0.00,1.33,0.85,,1.00,0.85,0.92
asia,1000,0.80,8.17,0.83,8.17,0.00,0.00,0.83,0.91,,1.00,0.91,0.95
asia,1000,0.90,8.50,0.50,8.50,0.00,0.00,0.50,0.94,,1.00,0.94,0.97
asia,1000,1.00,9.00,0.00,9.00,0.00,0.00,0.00,1.00,,1.00,1.00,1.00
barley,2000,0.50,6.83,17.17,5.33,5.50,1.50,11.67,0.31,0.79,0.78,0.31,0.44
barley,2000,0.60,5.33,18.67,4.17,5.83,1.17,12.83,0.25,0.83,0.68,0.25,0.43
barley,2000,0.70,6.67,17.33,4.83,5.17,1.83,12.17,0.28,0.74,0.72,0.28,0.38
barley,2000,0.80,8.33,15.67,7.00,5.67,1.33,10.00,0.41,0.81,0.83,0.41,0.54
barley,2000,0.90,8.83,15.17,7.00,5.17,1.83,10.00,0.41,0.74,0.81,0.41,0.54
barley,2000,1.00,13.00,11.00,10.33,4.33,2.67,6.67,0.61,0.62,0.79,0.61,0.66
barley,8000,0.50,5.83,18.17,4.33,5.50,1.50,12.67,0.25,0.79,0.66,0.25,0.36
barley,8000,0.60,4.50,19.50,3.17,5.67,1.33,13.83,0.19,0.81,0.72,0.19,0.29
barley,8000,0.70,7.00,17.00,5.33,5.33,1.67,11.67,0.31,0.76,0.73,0.31,0.43
barley,8000,0.80,5.50,18.50,4.17,5.67,1.33,12.83,0.25,0.81,0.79,0.25,0.37
barley,8000,0.90,5.83,18.17,4.67,5.83,1.17,12.33,0.27,0.83,0.83,0.27,0.40
barley,8000,1.00,8.33,15.67,5.83,4.50,2.50,11.17,0.34,0.64,0.69,0.34,0.45
cancer,250,0.50,0.67,4.33,0.67,0.00,0.00,4.33,0.13,,1.00,0.13,0.41
cancer,250,0.60,1.17,3.83,1.17,0.00,0.00,3.83,0.23,,1.00,0.23,0.37
cancer,250,0.70,1.17,3.83,1.17,0.00,0.00,3.83,0.23,,1.00,0.23,0.37
cancer,250,0.80,1.50,3.50,1.50,0.00,0.00,3.50,0.30,,1.00,0.30,0.43
cancer,250,0.90,2.83,2.17,2.83,0.00,0.00,2.17,0.57,,1.00,0.57,0.70
cancer,250,1.00,5.00,0.00,5.00,0.00,0.00,0.00,1.00,,1.00,1.00,1.00
cancer,1000,0.50,1.50,3.50,1.50,0.00,0.00,3.50,0.30,,1.00,0.30,0.45
cancer,1000,0.60,1.67,3.33,1.67,0.00,0.00,3.33,0.33,,1.00,0.33,0.49
cancer,1000,0.70,2.00,3.00,2.00,0.00,0.00,3.00,0.40,,1.00,0.40,0.54
cancer,1000,0.80,3.67,1.33,3.67,0.00,0.00,1.33,0.73,,1.00,0.73,0.81
cancer,1000,0.90,4.17,0.83,4.17,0.00,0.00,0.83,0.83,,1.00,0.83,0.91
cancer,1000,1.00,5.00,0.00,5.00,0.00,0.00,0.00,1.00,,1.00,1.00,1.00
child,500,0.50,7.17,2.83,7.17,2.00,0.00,0.83,0.90,1.00,1.00,0.90,0.94
child,500,0.60,7.33,2.67,7.33,2.00,0.00,0.67,0.92,1.00,1.00,0.92,0.95
child,500,0.70,7.50,2.50,7.50,2.00,0.00,0.50,0.94,1.00,1.00,0.94,0.97
child,500,0.80,7.83,2.17,7.83,2.00,0.00,0.17,0.98,1.00,1.00,0.98,0.99
child,500,0.90,7.67,2.33,7.50,1.83,0.17,0.50,0.94,0.92,0.98,0.94,0.96
child,500,1.00,9.83,0.17,8.00,0.17,1.83,0.00,1.00,0.08,0.81,1.00,0.90
child,2000,0.50,8.00,2.00,8.00,2.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00
child,2000,0.60,8.00,2.00,8.00,2.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00
child,2000,0.70,8.00,2.00,8.00,2.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00
child,2000,0.80,8.00,2.00,8.00,2.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00
child,2000,0.90,8.00,2.00,8.00,2.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00
child,2000,1.00,8.17,1.83,8.00,1.83,0.17,0.00,1.00,0.92,0.98,1.00,0.99
insurance,500,0.50,3.17,6.83,3.17,0.00,0.00,6.83,0.32,,1.00,0.32,0.48
insurance,500,0.60,3.00,7.00,3.00,0.00,0.00,7.00,0.30,,1.00,0.30,0.45
insurance,500,0.70,3.00,7.00,3.00,0.00,0.00,7.00,0.30,,1.00,0.30,0.46
insurance,500,0.80,3.33,6.67,3.33,0.00,0.00,6.67,0.33,,1.00,0.33,0.49
insurance,500,0.90,3.67,6.33,3.67,0.00,0.00,6.33,0.37,,1.00,0.37,0.53
insurance,500,1.00,9.50,0.50,9.50,0.00,0.00,0.50,0.95,,1.00,0.95,0.97
insurance,2000,0.50,3.17,6.83,3.17,0.00,0.00,6.83,0.32,,1.00,0.32,0.47
insurance,2000,0.60,5.17,4.83,5.17,0.00,0.00,4.83,0.52,,1.00,0.52,0.65
insurance,2000,0.70,3.17,6.83,3.17,0.00,0.00,6.83,0.32,,1.00,0.32,0.47
insurance,2000,0.80,3.67,6.33,3.67,0.00,0.00,6.33,0.37,,1.00,0.37,0.53
insurance,2000,0.90,3.83,6.17,3.83,0.00,0.00,6.17,0.38,,1.00,0.38,0.55
insurance,2000,1.00,7.33,2.67,7.33,0.00,0.00,2.67,0.73,,1.00,0.73,0.83
mildew,8000,0.50,6.67,20.33,6.67,9.00,0.00,11.33,0.37,1.00,1.00,0.37,0.53
mildew,8000,0.60,7.50,19.50,6.67,8.17,0.83,11.33,0.37,0.91,0.91,0.37,0.51
mildew,8000,0.70,7.50,19.50,7.17,8.67,0.33,10.83,0.40,0.96,0.95,0.40,0.56
mildew,8000,0.80,5.33,21.67,5.33,9.00,0.00,12.67,0.30,1.00,1.00,0.30,0.45
mildew,8000,0.90,5.50,21.50,4.17,7.67,1.33,13.83,0.23,0.85,0.81,0.23,0.35
mildew,8000,1.00,6.33,20.67,5.50,8.17,0.83,12.50,0.31,0.91,0.89,0.31,0.43
mildew,32000,0.50,5.33,21.67,5.17,8.83,0.17,12.83,0.29,0.98,0.98,0.29,0.42
mildew,32000,0.60,4.83,22.17,4.83,9.00,0.00,13.17,0.27,1.00,1.00,0.27,0.41
mildew,32000,0.70,3.50,23.50,3.17,8.67,0.33,14.83,0.18,0.96,0.89,0.18,0.29
mildew,32000,0.80,3.00,24.00,2.83,8.83,0.17,15.17,0.16,0.98,0.96,0.16,0.26
mildew,32000,0.90,5.67,21.33,5.33,8.67,0.33,12.67,0.30,0.96,0.94,0.30,0.43
mildew,32000,1.00,5.33,21.67,4.83,8.50,0.50,13.17,0.27,0.94,0.91,0.27,0.41
water,1000,0.50,10.50,4.50,5.50,1.00,5.00,3.50,0.61,0.17,0.52,0.61,0.56
water,1000,0.60,11.83,3.17,6.33,0.50,5.50,2.67,0.70,0.08,0.54,0.70,0.61
water,1000,0.70,11.67,3.33,6.17,0.50,5.50,2.83,0.69,0.08,0.53,0.69,0.60
water,1000,0.80,11.50,3.50,6.17,0.67,5.33,2.83,0.69,0.11,0.54,0.69,0.60
water,1000,0.90,12.67,2.33,6.67,0.00,6.00,2.33,0.74,0.00,0.53,0.74,0.61
water,1000,1.00,15.00,0.00,9.00,0.00,6.00,0.00,1.00,0.00,0.60,1.00,0.75
water,4000,0.50,11.67,3.33,6.33,0.67,5.33,2.67,0.70,0.11,0.54,0.70,0.61
water,4000,0.60,11.50,3.50,5.83,0.33,5.67,3.17,0.65,0.06,0.51,0.65,0.57
water,4000,0.70,12.50,2.50,6.83,0.33,5.67,2.17,0.76,0.06,0.55,0.76,0.64
water,4000,0.80,12.50,2.50,6.67,0.17,5.83,2.33,0.74,0.03,0.53,0.74,0.62
water,4000,0.90,12.83,2.17,6.83,0.00,6.00,2.17,0.76,0.00,0.53,0.76,0.63
water,4000,1.00,14.83,0.17,8.83,0.00,6.00,0.17,0.98,0.00,0.60,0.98,0.74
